Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:26:21-686,2016-12-13 12:26:21-789
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\461D46BE516104C7,0:1187480,2016-12-13 12:26:21-908,2016-12-13 12:26:22-404
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:22-525,2016-12-13 12:26:22-634
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\0550A92521964C91,0:3705376,2016-12-13 12:26:22-713,2016-12-13 12:26:26-498
Fail : LS : test1,0:-1,2016-12-13 12:26:26-622,2016-12-13 12:26:26-623
Reason : java.lang.StringIndexOutOfBoundsException: String index out of range: -1
Success : SEQ_READ : test2\49f03965cf98b1f5,0:1634,2016-12-13 12:26:26-717,2016-12-13 12:26:26-781
Success : LS : test1\f71b43c3136efa4f\9f93e73d6896cb7b\,0:-1,2016-12-13 12:26:26-857,2016-12-13 12:26:26-940
Success : LS : test1\f71b43c3136efa4f\52481749c0cdecd6\,0:-1,2016-12-13 12:26:27-031,2016-12-13 12:26:27-105
Success : LS : test1\f71b43c3136efa4f\83404ffd78f534ff\,0:-1,2016-12-13 12:26:27-187,2016-12-13 12:26:27-250
Success : LS : test1\f71b43c3136efa4f\83404ffd78f534ff\,0:-1,2016-12-13 12:26:27-325,2016-12-13 12:26:27-385
Success : LS : test1\c5a5e5562b038073\,0:-1,2016-12-13 12:26:27-461,2016-12-13 12:26:27-525
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:27-600,2016-12-13 12:26:27-738
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\27EB605716AAF7B3,0:2559507,2016-12-13 12:26:27-827,2016-12-13 12:26:29-927
Success : SEQ_READ : test1\c5a5e5562b038073\767c14c8beb1e835,0:3818496,2016-12-13 12:26:30-033,2016-12-13 12:26:30-354
Success : LS : test1\f71b43c3136efa4f\9f93e73d6896cb7b\,0:-1,2016-12-13 12:26:30-481,2016-12-13 12:26:30-583
Success : LS : test1\c5a5e5562b038073\,0:-1,2016-12-13 12:26:30-675,2016-12-13 12:26:30-778
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:26:30-869,2016-12-13 12:26:30-976
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:31-096,2016-12-13 12:26:31-204
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\42C9584A56D4E0AF,0:1335649,2016-12-13 12:26:31-337,2016-12-13 12:26:32-079
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:26:32-198,2016-12-13 12:26:32-310
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\746C4E55222E6D4C,0:724251,2016-12-13 12:26:32-416,2016-12-13 12:26:32-725
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:26:32-848,2016-12-13 12:26:32-941
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\5D188BE0340EDFD3,0:1165834,2016-12-13 12:26:33-034,2016-12-13 12:26:33-513
Success : LS : test1\c5a5e5562b038073\,0:-1,2016-12-13 12:26:33-632,2016-12-13 12:26:33-700
Success : LS : test1\f71b43c3136efa4f\9f93e73d6896cb7b\,0:-1,2016-12-13 12:26:33-776,2016-12-13 12:26:33-837
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:26:33-953,2016-12-13 12:26:34-042
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:34-154,2016-12-13 12:26:34-263
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:34-375,2016-12-13 12:26:34-481
Success : LS : test1\f71b43c3136efa4f\c7d9912886e5ccc7\,0:-1,2016-12-13 12:26:34-556,2016-12-13 12:26:34-618
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:26:34-722,2016-12-13 12:26:34-805
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\19942F8C7035BDFD,0:827758,2016-12-13 12:26:34-923,2016-12-13 12:26:35-273
Success : LS : test1\c5a5e5562b038073\,0:-1,2016-12-13 12:26:35-398,2016-12-13 12:26:35-473
Success : LS : test1\c5a5e5562b038073\,0:-1,2016-12-13 12:26:35-584,2016-12-13 12:26:35-654
Success : LS : test1\f71b43c3136efa4f\52481749c0cdecd6\,0:-1,2016-12-13 12:26:35-730,2016-12-13 12:26:35-792
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:26:35-902,2016-12-13 12:26:35-985
