Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:13:32-492,2016-12-12 11:13:32-561
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:32-659,2016-12-12 11:13:32-735
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\63C2580765877A87,0:3622581,2016-12-12 11:13:32-854,2016-12-12 11:13:36-382
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:36-515,2016-12-12 11:13:36-598
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\5A1B45CB5B4DBB18,0:116505,2016-12-12 11:13:36-690,2016-12-12 11:13:37-131
Success : RANDOM_READ : test2\acde102dac5bbe15,3322:4346,2016-12-12 11:13:37-209,2016-12-12 11:13:37-269
Success : LS : test1\f71b43c3136efa4f\52481749c0cdecd6\,0:-1,2016-12-12 11:13:37-346,2016-12-12 11:13:37-407
Success : LS : test1\f71b43c3136efa4f\c7d9912886e5ccc7\,0:-1,2016-12-12 11:13:37-485,2016-12-12 11:13:37-550
Fail : LS : test1,0:-1,2016-12-12 11:13:37-677,2016-12-12 11:13:37-678
Reason : java.lang.StringIndexOutOfBoundsException: String index out of range: -2
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:37-794,2016-12-12 11:13:37-905
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\74E32B1D4AA97222,0:3673963,2016-12-12 11:13:37-997,2016-12-12 11:13:42-217
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:42-339,2016-12-12 11:13:42-503
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\05D747DF5FE747F2,0:1711382,2016-12-12 11:13:42-591,2016-12-12 11:13:43-938
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:44-058,2016-12-12 11:13:44-144
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\581116DD16B39C9A,0:3348871,2016-12-12 11:13:44-263,2016-12-12 11:13:47-477
Success : LS : test1\c5a5e5562b038073\a39ea9c72a98de10\,0:-1,2016-12-12 11:13:47-599,2016-12-12 11:13:47-697
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-12 11:13:47-787,2016-12-12 11:13:47-884
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:13:47-974,2016-12-12 11:13:48-077
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:13:48-169,2016-12-12 11:13:48-241
Success : RANDOM_READ : test1\c5a5e5562b038073\767c14c8beb1e835,1667664:1670736,2016-12-12 11:13:48-316,2016-12-12 11:13:48-423
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:48-516,2016-12-12 11:13:48-610
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\262C75C106B448AA,0:3776142,2016-12-12 11:13:48-705,2016-12-12 11:13:53-841
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:13:53-928,2016-12-12 11:13:53-993
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\36FAB1635F3CC3B4,0:2048955,2016-12-12 11:13:54-079,2016-12-12 11:13:56-744
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:56-851,2016-12-12 11:13:56-924
Success : RANDOM_READ : test1\c5a5e5562b038073\a39ea9c72a98de10\aa61f113a9b13deb,0:438,2016-12-12 11:13:57-034,2016-12-12 11:13:57-111
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:57-193,2016-12-12 11:13:57-274
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\55B0B9375AF89D8C,0:461714,2016-12-12 11:13:57-379,2016-12-12 11:13:58-074
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:13:58-202,2016-12-12 11:13:58-312
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\7488AF3F67E017CF,0:2134103,2016-12-12 11:13:58-405,2016-12-12 11:14:01-418
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:14:01-536,2016-12-12 11:14:01-610
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\6E64E39C613E499C,0:1730749,2016-12-12 11:14:01-721,2016-12-12 11:14:03-329
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:14:03-410,2016-12-12 11:14:03-489
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\275F4CD83FC34904,0:2523006,2016-12-12 11:14:03-568,2016-12-12 11:14:06-144
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:14:06-259,2016-12-12 11:14:06-343
