Success : SEQ_READ : test1\c5a5e5562b038073\a39ea9c72a98de10\11562aa867a5f398,428:2476,2016-12-12 11:44:05-382,2016-12-12 11:44:05-446
Success : RANDOM_READ : test1\c5a5e5562b038073\a39ea9c72a98de10\f398de59988a85e5,27:6171,2016-12-12 11:44:05-601,2016-12-12 11:44:05-681
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:05-765,2016-12-12 11:44:05-884
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:05-999,2016-12-12 11:44:06-095
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\0C85CD8C3DD57FC0,0:3496044,2016-12-12 11:44:06-217,2016-12-12 11:44:09-806
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:44:09-931,2016-12-12 11:44:10-012
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\1035E2473B89AC9B,0:103786,2016-12-12 11:44:10-093,2016-12-12 11:44:10-654
Success : SEQ_READ : test1\c5a5e5562b038073\a39ea9c72a98de10\f398de59988a85e5,203:3275,2016-12-12 11:44:10-769,2016-12-12 11:44:10-837
Success : RANDOM_READ : test1\c5a5e5562b038073\738537f9a40e568b,730:7898,2016-12-12 11:44:10-946,2016-12-12 11:44:11-013
Success : SEQ_READ : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\3eef580036f1724a,0:257,2016-12-12 11:44:11-122,2016-12-12 11:44:11-190
Success : RANDOM_READ : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\254d76d2609fec03,876:1900,2016-12-12 11:44:11-311,2016-12-12 11:44:11-415
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:11-540,2016-12-12 11:44:11-631
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\325B2E6D241AE4F8,0:2335345,2016-12-12 11:44:11-712,2016-12-12 11:44:13-904
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:44:14-030,2016-12-12 11:44:14-142
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\46B0992F7DA1A514,0:2782072,2016-12-12 11:44:14-264,2016-12-12 11:44:17-129
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:44:17-251,2016-12-12 11:44:17-372
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\0C4210E36D34A51E,0:1790557,2016-12-12 11:44:17-477,2016-12-12 11:44:19-049
Success : SEQ_READ : test2\acde102dac5bbe15,1381:3429,2016-12-12 11:44:19-151,2016-12-12 11:44:19-214
Success : LS : test1\c5a5e5562b038073\0189424a5a60fed3\,0:-1,2016-12-12 11:44:19-293,2016-12-12 11:44:19-357
Success : RANDOM_READ : test1\f71b43c3136efa4f\83404ffd78f534ff\6670af231c096f09,0:129,2016-12-12 11:44:19-431,2016-12-12 11:44:19-523
Success : SEQ_READ : test2\acde102dac5bbe15,812:5932,2016-12-12 11:44:19-645,2016-12-12 11:44:19-715
Success : RANDOM_READ : test1\c5a5e5562b038073\a39ea9c72a98de10\11562aa867a5f398,647:1671,2016-12-12 11:44:19-791,2016-12-12 11:44:19-852
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:44:19-926,2016-12-12 11:44:20-000
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\5BE00BE25DF20BE7,0:1474246,2016-12-12 11:44:20-075,2016-12-12 11:44:22-068
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:44:22-164,2016-12-12 11:44:22-236
