Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:16:39-673,2016-12-12 11:16:39-748
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\37B0397163E01F8A,0:423564,2016-12-12 11:16:39-824,2016-12-12 11:16:41-242
Success : LS : test1\c5a5e5562b038073\a39ea9c72a98de10\,0:-1,2016-12-12 11:16:41-362,2016-12-12 11:16:41-437
Fail : LS : test1,0:-1,2016-12-12 11:16:41-513,2016-12-12 11:16:41-513
Reason : java.lang.StringIndexOutOfBoundsException: String index out of range: -2
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:16:41-624,2016-12-12 11:16:41-705
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2B9C734C49A553E2,0:1784187,2016-12-12 11:16:41-803,2016-12-12 11:16:43-743
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:16:43-869,2016-12-12 11:16:43-962
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\6AF958DC0A833564,0:3832319,2016-12-12 11:16:44-079,2016-12-12 11:16:47-863
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:16:47-987,2016-12-12 11:16:48-075
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\25096C9858585D4B,0:3989479,2016-12-12 11:16:48-195,2016-12-12 11:16:52-299
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:16:52-390,2016-12-12 11:16:52-457
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\0A17CCE027CDA163,0:3602035,2016-12-12 11:16:52-544,2016-12-12 11:16:56-214
Success : LS : test1\f71b43c3136efa4f\c7d9912886e5ccc7\,0:-1,2016-12-12 11:16:56-336,2016-12-12 11:16:56-411
Fail : LS : test1,0:-1,2016-12-12 11:16:56-529,2016-12-12 11:16:56-530
Reason : java.lang.StringIndexOutOfBoundsException: String index out of range: -2
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-12 11:16:56-621,2016-12-12 11:16:56-723
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:16:56-824,2016-12-12 11:16:56-915
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\31EEAC3670EFEC97,0:680843,2016-12-12 11:16:57-002,2016-12-12 11:16:58-192
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:16:58-276,2016-12-12 11:16:58-364
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\737234FB0076BB4E,0:1651374,2016-12-12 11:16:58-508,2016-12-12 11:17:01-175
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:17:01-255,2016-12-12 11:17:01-367
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\66E913EA03877EB0,0:2502533,2016-12-12 11:17:01-459,2016-12-12 11:17:03-714
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:17:03-834,2016-12-12 11:17:03-932
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\3B1430B004B7EB60,0:3804910,2016-12-12 11:17:04-050,2016-12-12 11:17:08-003
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:17:08-101,2016-12-12 11:17:08-179
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:17:08-257,2016-12-12 11:17:08-341
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\056E28F0192B3C2F,0:1074352,2016-12-12 11:17:08-423,2016-12-12 11:17:09-351
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:17:09-473,2016-12-12 11:17:09-568
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\6D83D6273E22EDFA,0:3910430,2016-12-12 11:17:09-672,2016-12-12 11:17:13-345
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:17:13-472,2016-12-12 11:17:13-564
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\0CE4920A360586A7,0:2946680,2016-12-12 11:17:13-646,2016-12-12 11:17:16-466
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:17:16-556,2016-12-12 11:17:16-652
